cell.instance,tumor.label
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-D01-S37-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-C07-S31-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-C02-S314-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-G12-S372-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-F12-S360-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-E10-S346-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-H10-S190-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-G10-S178-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-A02-S290-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-G03-S171-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-E03-S51-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G04-S76-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-B01-S13-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-D09-S333-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-B05-S17-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-E09-S345-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-D12-S48-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-D08-S44-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-B02-S110-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-F10-S358-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-H02-S182-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-A06-S294-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-A12-S300-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-F09-S69-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-G04-S364-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-G05-S365-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-B09-S309-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-G06-S174-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F09-S165-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-A05-S101-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-C06-S318-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-C11-S35-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-B07-S307-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-D12-S336-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-C10-S130-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-F08-S68-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-D06-S42-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-E07-S55-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-G11-S179-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-E07-S343-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F02-S158-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-E05-S341-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F10-S166-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-C01-S25-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-H11-S383-comb,Mel79
